Nama;Nama Latin;Famili;Jenis Penyakit;Cara Pengolahan;Cara Penggunaan;Bagian Tumbuhan;Jenis Tumbuhan
Sungkai;Peronema Canescens Jeck;Verbenaceae;Gatal;Direbus;Diminum;Daun;Pohon
Pisang;Musa Paradisiaca L.;Musaceae ;Luka Luar;Langsung;Dioleskan;Getah;Pohon
Nangka;Artocarpus Heterophyllus Hiern;Moraceae ;Bisul;Dibakar;Dioleskan;Daun;Pohon
Kelor;Moringa Oleifera;Moringaceae;Luka Luar;Ditumbuk;Ditempel;Daun;Pohon
Murbei ;Morus Alba L.;Moraceae;Bisul;Direbus;Diminum;Daun;Pohon
Akar letop;Physalis Angulata L.;Solanaceae;Kurap;Direbus;Dimakan;Daun;Pohon
Sahang Burung;Brucea Javanica L. Merr;Simaraoubaceae;Kurap;Ditumbuk;Ditempel;Daun;Pohon
Asam kandis;Garcinia Atrovorodos;Clusiaceae;Bisul;Langsung;Dimakan;Buah;Pohon
Jarikng/ jengkol;Archidendron Jiringa;Fabaceae;Gatal;Direbus;Mandi;Daun;Pohon
Kelapa ;Cocos Nucifera;Arecaceae;Biduran ;Langsung;Diminum;Buah;Pohon
Hambin buah/meniran;Phyllanthus Urinaria Linn;Euphorbiaceae;Panu;Direbus;Diminum;Daun;Pohon
Pucuk putat/ butun;Barringtonia Acuatangula L.;Lecythidaceae;Gatal;Ditumbuk;Dioleskan;Daun;Pohon
Madang ;Listea sp;Lauraceae ;Luka Luar;Ditumbuk;Ditempel;Daun;Pohon
Sirsak;Annona Muricata, Linn.;Annonaceae;Bisul;Ditumbuk;Ditempel;Daun;Pohon
Mengkudu;Morinda Citrifolia;Rubiaceae;Eksim;Langsung;Dioleskan;Kulit Batang;Pohon
Salam ;Syzygium Polyanthum;Myrtaceae ;Kudis;Ditumbuk;Ditempel;Daun;Pohon
Jeruk Nipis;Cirus Aurantifolia;Rutaceae;Jerawat;Langsung;Dioleskan;Buah;Pohon
Asam;Tamarindus Indica L.;Caesalpiniaceae;Biduran;Direbus;Diminum;Buah;Pohon
Gulinggang/Ketepeng;Senna Alata L. Roxb;Leguminosae-Caes;Panu;Ditumbuk;Dioleskan;Daun;Perdu
Lirik;Stachiphrynium Borneensis Ridl.;Marantbaceae;Luka Luar;Ditumbuk;Ditempel;Daun;Perdu
Bungur Kecil;Lagerstroemia Indica L.;Lythraceae;Bisul;Direbus;Diminum;Akar;Perdu
